"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_001270655","0","0","0","0","0","0","0","0","0"
"NM_001270656","0","0","0","0","0","0","0","0","0"
"NM_019248","0","0","0","0","0","0","0","0","0"
"NM_017065","0","0","0","2","0","0","0","0","0"
"NM_031069","0","0","0","0","0","0","2","0","0"
"NM_001008368","1307","1527","1329","1532","1660","1785","1185","1268","1117"
"NM_001106284","10","1","3","28","46","41","38","22","35"
"NM_001039611","327","401","301","518","682","735","679","691","677"
"NM_001012742","60","76","84","254","436","826","117","127","113"
"NM_001105731","10","10","11","10","1","8","14","6","8"
"NM_001024899","24","36","52","48","52","81","36","50","35"
"NM_001107611","9","6","6","9","2","3","30","29","37"
"NM_013070","1044","1295","946","824","1102","1049","1177","1398","1409"
"NM_001108458","12","18","26","14","8","27","8","13","14"
"NM_001107515","30","26","18","186","266","283","114","61","77"
"NM_080894","22","42","24","18","32","18","24","19","22"
"NM_001039722","0","0","0","0","0","0","0","0","0"
"NM_001190999","72","133","85","126","144","149","73","100","58"
"NM_001038601","0","0","0","0","0","0","0","0","0"
"NM_012689","253","189","198","76","82","90","49","29","44"
"NR_027877","0","0","0","0","0","0","0","0","0"
"NM_001038600","0","0","0","0","0","0","0","0","0"
"NM_020093","82","123","71","91","141","132","72","86","63"
"NM_001101008","125","85","110","165","209","209","144","152","142"
"NM_133406","50","50","34","51","58","78","34","34","48"
"NM_001106231","16","12","24","21","26","65","20","7","10"
"NM_021677","0","0","0","0","0","0","0","0","0"
"NM_017156","2","2","0","17","14","5","8","5","4"
"NM_031139","1465","1359","1362","1460","1350","1588","1129","1216","1006"
"NM_001099476","0","0","0","0","0","0","0","0","0"
"NM_001039037","91","101","88","110","146","277","170","160","150"
"NM_053557","148","154","156","642","631","926","314","268","257"
"NM_199088","2","8","4","2","4","1","2","2","0"
"NM_031013","13432","17456","14445","7424","5090","4577","11463","12098","10284"
"NM_001127504","1910","2189","1886","2038","1579","2118","1498","1530","1358"
"NM_001106268","121","158","122","126","134","196","106","151","145"
"NM_001106271","1649","2033","1827","1945","2909","3081","1235","1948","1569"
"NM_177481","30","35","60","39","12","10","26","48","20"
"NM_031238","481","478","466","216","217","180","293","349","243"
"NM_053863","0","0","1","0","6","2","0","0","0"
